contrast-0;energy-0;homogenity-0;correlation-0;dissimilarity-0;ASM-0;contrast-45;energy-45;homogenity-45;correlation-45;dissimilarity-45;ASM-45;contrast-90;energy-90;homogenity-90;correlation-90;dissimilarity-90;ASM-90;contrast-135;energy-135;homogenity-135;correlation-135;dissimilarity-135;ASM-135;target
763.683.389;0.05925478;0.40444537;0.9588083;201.117.057;0.00351113;1.766.642.431;0.04776224;0.2900807;0.90477872;201.117.057;0.00351113;1.068.180.602;0.05521987;0.36574934;0.9423917;201.117.057;0.00351113;763.683.389;0.05925478;0.40444537;0.9588083;201.117.057;0.00351113;2
748.656.633;0.06356336;0.4036507;0.9513716;199.555.184;0.0040403;1.668.316.909;0.05176384;0.29192607;0.89161241;199.555.184;0.0040403;997.424.749;0.05997117;0.37067181;0.93518036;199.555.184;0.0040403;748.656.633;0.06356336;0.4036507;0.9513716;199.555.184;0.0040403;2
796.003.344;0.06004386;0.3988354;0.95337487;205.075.808;0.00360527;1.778.060.648;0.04893741;0.28855978;0.89587142;205.075.808;0.00360527;1.032.424.749;0.05697098;0.36919299;0.93953386;205.075.808;0.00360527;796.003.344;0.06004386;0.3988354;0.95337487;205.075.808;0.00360527;2
828.993.311;0.05722679;0.39384806;0.95850163;209.176.143;0.00327491;1.907.568.148;0.04613808;0.27995788;0.90432677;209.176.143;0.00327491;1.116.855.072;0.05389023;0.35931052;0.94398995;209.176.143;0.00327491;828.993.311;0.05722679;0.39384806;0.95850163;209.176.143;0.00327491;2
687.430.323;0.06410449;0.4204844;0.96002583;189.570.792;0.00410939;1.556.531.806;0.05224781;0.30743913;0.90935386;189.570.792;0.00410939;909.402.453;0.06062716;0.38863038;0.94702461;189.570.792;0.00410939;687.430.323;0.06410449;0.4204844;0.96002583;189.570.792;0.00410939;2
762.620.959;0.06355094;0.40015975;0.94692967;201.849.498;0.00403872;1.705.768.392;0.05167634;0.28802623;0.88136495;201.849.498;0.00403872;1.017.703.456;0.05968909;0.36400829;0.92928882;201.849.498;0.00403872;762.620.959;0.06355094;0.40015975;0.94692967;201.849.498;0.00403872;2
792.157.191;0.06257889;0.40526273;0.94980823;202.362.319;0.00391612;1.683.874.901;0.05122017;0.29843605;0.89331951;202.362.319;0.00391612;972.132.664;0.0593779;0.37760417;0.93840413;202.362.319;0.00391612;792.157.191;0.06257889;0.40526273;0.94980823;202.362.319;0.00391612;2
768.489.409;0.06279895;0.40115572;0.95133439;202.241.918;0.00394371;1.796.450.823;0.05064566;0.28552486;0.88623931;202.241.918;0.00394371;1.048.334.448;0.05886013;0.3642354;0.93363917;202.241.918;0.00394371;768.489.409;0.06279895;0.40115572;0.95133439;202.241.918;0.00394371;2
765.063.545;0.06137598;0.40595442;0.95345347;200.483.835;0.00376701;1.718.630.664;0.04979183;0.29302361;0.89541021;200.483.835;0.00376701;101.899.777;0.05759129;0.36915872;0.93801908;200.483.835;0.00376701;765.063.545;0.06137598;0.40595442;0.95345347;200.483.835;0.00376701;2
696.421.405;0.06253127;0.41578376;0.95816272;191.670.011;0.00391016;1.586.000.157;0.05074649;0.30255091;0.90478224;191.670.011;0.00391016;953.204.013;0.05870078;0.38111105;0.94277563;191.670.011;0.00391016;696.421.405;0.06253127;0.41578376;0.95816272;191.670.011;0.00391016;2
848.710.145;0.06087134;0.39425644;0.95011196;209.392.419;0.00370532;1.768.752.027;0.0499665;0.29114931;0.89534566;209.392.419;0.00370532;993.405.797;0.05822474;0.3715318;0.94121394;209.392.419;0.00370532;848.710.145;0.06087134;0.39425644;0.95011196;209.392.419;0.00370532;1
740.667.781;0.07038353;0.41426623;0.93986457;195.053.512;0.00495384;1.529.532.108;0.05816177;0.30804071;0.87573477;195.053.512;0.00495384;875.852.843;0.06742338;0.39042761;0.92887682;195.053.512;0.00495384;740.667.781;0.07038353;0.41426623;0.93986457;195.053.512;0.00495384;1
648.604.236;0.07123551;0.43302493;0.94860351;181.975.474;0.0050745;138.708.963;0.05842786;0.32031741;0.89010049;181.975.474;0.0050745;815.685.619;0.06778131;0.40330452;0.93537207;181.975.474;0.0050745;648.604.236;0.07123551;0.43302493;0.94860351;181.975.474;0.0050745;1
831.360.089;0.06095722;0.39595519;0.95084605;208.316.611;0.00371578;1.769.132.336;0.05017854;0.29145764;0.89539048;208.316.611;0.00371578;1.037.973.244;0.05857664;0.3709749;0.93860601;208.316.611;0.00371578;831.360.089;0.06095722;0.39595519;0.95084605;208.316.611;0.00371578;1
882.443.701;0.05966193;0.39158708;0.95067283;21.374.359;0.00355955;1.854.226.463;0.04893812;0.28772379;0.89638402;21.374.359;0.00355955;1.051.491.639;0.05718544;0.36990652;0.9412644;21.374.359;0.00355955;882.443.701;0.05966193;0.39158708;0.95067283;21.374.359;0.00355955;1
737.853.958;0.06746861;0.41123743;0.94601032;19.661.427;0.00455201;1.600.784.108;0.05528866;0.30117384;0.88290846;19.661.427;0.00455201;918.240.803;0.06432971;0.38383289;0.93280868;19.661.427;0.00455201;737.853.958;0.06746861;0.41123743;0.94601032;19.661.427;0.00455201;1
693.433.668;0.0681328;0.42108774;0.95072283;189.154.961;0.00464208;1.474.684.847;0.05586489;0.30947946;0.89523886;189.154.961;0.00464208;878.956.522;0.06480552;0.39210451;0.93751291;189.154.961;0.00464208;693.433.668;0.0681328;0.42108774;0.95072283;189.154.961;0.00464208;1
652.560.758;0.07102117;0.42428256;0.94683559;18.519.175;0.00504401;1.393.339.001;0.05890071;0.31763179;0.88632658;18.519.175;0.00504401;813.149.387;0.06831331;0.39942319;0.93364619;18.519.175;0.00504401;652.560.758;0.07102117;0.42428256;0.94683559;18.519.175;0.00504401;1
75.148.495;0.06551978;0.40979292;0.94784396;197.694.537;0.00429284;1.656.211.899;0.05327153;0.29693118;0.88510533;197.694.537;0.00429284;949.405.797;0.06172657;0.37577589;0.93417195;197.694.537;0.00429284;75.148.495;0.06551978;0.40979292;0.94784396;197.694.537;0.00429284;1
766.146.042;0.06623695;0.4078344;0.94525834;199.523.969;0.00438733;1.657.507.187;0.05425148;0.29873935;0.8814917;199.523.969;0.00438733;975.843.924;0.06265329;0.37593527;0.9302802;199.523.969;0.00438733;766.146.042;0.06623695;0.4078344;0.94525834;199.523.969;0.00438733;1
586.091.416;0.0668833;0.45086673;0.96311105;172.733.556;0.00447338;1.262.138.007;0.05401571;0.32870513;0.92058887;172.733.556;0.00447338;702.244.147;0.06373407;0.42028533;0.95582566;172.733.556;0.00447338;586.091.416;0.0668833;0.45086673;0.96311105;172.733.556;0.00447338;3
553.590.858;0.06725974;0.45718758;0.96668892;168.369.008;0.00452387;1.195.002.293;0.054619;0.33672919;0.92811089;168.369.008;0.00452387;681.536.232;0.06382992;0.426039;0.95902441;168.369.008;0.00452387;553.590.858;0.06725974;0.45718758;0.96668892;168.369.008;0.00452387;3
568.830.546;0.06688525;0.45580701;0.96595108;170.128.205;0.00447364;1.253.002.763;0.05435134;0.33490956;0.92500305;170.128.205;0.00447364;686.833.891;0.06424293;0.42788867;0.95892024;170.128.205;0.00447364;568.830.546;0.06688525;0.45580701;0.96595108;170.128.205;0.00447364;3
405.995.541;0.07792213;0.50627049;0.97394237;14.154.961;0.00607186;929.333.005;0.06380138;0.3823362;0.94041554;14.154.961;0.00607186;561.575.251;0.07354432;0.46605064;0.96407646;14.154.961;0.00607186;405.995.541;0.07792213;0.50627049;0.97394237;14.154.961;0.00607186;3
954.195.095;0.05902701;0.4043442;0.95852679;211.956.522;0.00348419;1.885.654.523;0.04818549;0.29499519;0.91812373;211.956.522;0.00348419;974.537.347;0.05681873;0.38499769;0.95768986;211.956.522;0.00348419;954.195.095;0.05902701;0.4043442;0.95852679;211.956.522;0.00348419;3
521.318.841;0.07073261;0.45296084;0.96102548;166.123.746;0.0050031;1.167.351.596;0.05713681;0.32878308;0.91274559;166.123.746;0.0050031;654.005.574;0.06726295;0.42221438;0.95115411;166.123.746;0.0050031;521.318.841;0.07073261;0.45296084;0.96102548;166.123.746;0.0050031;3
524.790.412;0.06853675;0.46253813;0.96689039;164.023.411;0.00469729;1.200.621.917;0.05577023;0.34171416;0.92429605;164.023.411;0.00469729;697.975.474;0.06536422;0.43235462;0.95601524;164.023.411;0.00469729;524.790.412;0.06853675;0.46253813;0.96689039;164.023.411;0.00469729;3
529.896.321;0.0664412;0.45587711;0.96868405;166.023.411;0.00441443;1.269.565.217;0.05312054;0.32824831;0.92496503;166.023.411;0.00441443;755.811.594;0.06171216;0.41237728;0.95529909;166.023.411;0.00441443;529.896.321;0.0664412;0.45587711;0.96868405;166.023.411;0.00441443;3
475.884.058;0.07389055;0.47848411;0.96700863;155.114.827;0.00545981;1.084.455.431;0.06001233;0.35690159;0.92487079;155.114.827;0.00545981;627.283.166;0.07017439;0.44806876;0.95655877;155.114.827;0.00545981;475.884.058;0.07389055;0.47848411;0.96700863;155.114.827;0.00545981;3
