contrast-90,energy-90,homogenity-90,correlation-90,dissimilarity-90,ASM-90,target
1068180602,0.05521987,0.36574934,0.9423917,201117057,0.00351113,2
997424749,0.05997117,0.37067181,0.93518036,199555184,0.0040403,2
1032424749,0.05697098,0.36919299,0.93953386,205075808,0.00360527,2
1116855072,0.05389023,0.35931052,0.94398995,209176143,0.00327491,2
909402453,0.06062716,0.38863038,0.94702461,189570792,0.00410939,2
1017703456,0.05968909,0.36400829,0.92928882,201849498,0.00403872,2
972132664,0.0593779,0.37760417,0.93840413,202362319,0.00391612,2
1048334448,0.05886013,0.3642354,0.93363917,202241918,0.00394371,2
815685619,0.06778131,0.40330452,0.93537207,181975474,0.0050745,1
1037973244,0.05857664,0.3709749,0.93860601,208316611,0.00371578,1
1051491639,0.05718544,0.36990652,0.9412644,21374359,0.00355955,1
918240803,0.06432971,0.38383289,0.93280868,19661427,0.00455201,1
878956522,0.06480552,0.39210451,0.93751291,189154961,0.00464208,1
813149387,0.06831331,0.39942319,0.93364619,18519175,0.00504401,1
949405797,0.06172657,0.37577589,0.93417195,197694537,0.00429284,1
975843924,0.06265329,0.37593527,0.9302802,199523969,0.00438733,1
702244147,0.06373407,0.42028533,0.95582566,172733556,0.00447338,3
681536232,0.06382992,0.426039,0.95902441,168369008,0.00452387,3
686833891,0.06424293,0.42788867,0.95892024,170128205,0.00447364,3
561575251,0.07354432,0.46605064,0.96407646,14154961,0.00607186,3
974537347,0.05681873,0.38499769,0.95768986,211956522,0.00348419,3
654005574,0.06726295,0.42221438,0.95115411,166123746,0.0050031,3
697975474,0.06536422,0.43235462,0.95601524,164023411,0.00469729,3
