contrast-135,energy-135,homogenity-135,correlation-135,dissimilarity-135,ASM-135,target
763.683.389,0.05925478,0.40444537,0.9588083,201.117.057,0.00351113,2
748.656.633,0.06356336,0.4036507,0.9513716,199.555.184,0.0040403,2
796.003.344,0.06004386,0.3988354,0.95337487,205.075.808,0.00360527,2
828.993.311,0.05722679,0.39384806,0.95850163,209.176.143,0.00327491,2
687.430.323,0.06410449,0.4204844,0.96002583,189.570.792,0.00410939,2
762.620.959,0.06355094,0.40015975,0.94692967,201.849.498,0.00403872,2
792.157.191,0.06257889,0.40526273,0.94980823,202.362.319,0.00391612,2
768.489.409,0.06279895,0.40115572,0.95133439,202.241.918,0.00394371,2
765.063.545,0.06137598,0.40595442,0.95345347,200.483.835,0.00376701,2
696.421.405,0.06253127,0.41578376,0.95816272,191.670.011,0.00391016,2
848.710.145,0.06087134,0.39425644,0.95011196,209.392.419,0.00370532,1
740.667.781,0.07038353,0.41426623,0.93986457,195.053.512,0.00495384,1
648.604.236,0.07123551,0.43302493,0.94860351,181.975.474,0.0050745,1
831.360.089,0.06095722,0.39595519,0.95084605,208.316.611,0.00371578,1
882.443.701,0.05966193,0.39158708,0.95067283,21.374.359,0.00355955,1
737.853.958,0.06746861,0.41123743,0.94601032,19.661.427,0.00455201,1
693.433.668,0.0681328,0.42108774,0.95072283,189.154.961,0.00464208,1
652.560.758,0.07102117,0.42428256,0.94683559,18.519.175,0.00504401,1
75.148.495,0.06551978,0.40979292,0.94784396,197.694.537,0.00429284,1
766.146.042,0.06623695,0.4078344,0.94525834,199.523.969,0.00438733,1
586.091.416,0.0668833,0.45086673,0.96311105,172.733.556,0.00447338,3
553.590.858,0.06725974,0.45718758,0.96668892,168.369.008,0.00452387,3
568.830.546,0.06688525,0.45580701,0.96595108,170.128.205,0.00447364,3
405.995.541,0.07792213,0.50627049,0.97394237,14.154.961,0.00607186,3
954.195.095,0.05902701,0.4043442,0.95852679,211.956.522,0.00348419,3
521.318.841,0.07073261,0.45296084,0.96102548,166.123.746,0.0050031,3
524.790.412,0.06853675,0.46253813,0.96689039,164.023.411,0.00469729,3
529.896.321,0.0664412,0.45587711,0.96868405,166.023.411,0.00441443,3
475.884.058,0.07389055,0.47848411,0.96700863,155.114.827,0.00545981,3
